Old value,Prediction
1100000.00,986425.75
525000.00,515172.62
1100000.00,1171798.88
575000.00,665458.19
900000.00,808313.94
3300000.00,2853033.25
625000.00,638742.75
220000.00,236081.41
950000.00,1028623.25
280000.00,251171.58
70000.00,210198.03
875000.00,831559.19
8000000.00,8137877.50
4800000.00,4320860.00
550000.00,509575.00
250000.00,313253.38
2700000.00,2394139.00
0.00,-302294.44
450000.00,433270.44
675000.00,752149.25
525000.00,498707.44
1700000.00,2080842.62
375000.00,380760.03
8000000.00,8617882.00
2300000.00,2904169.00
750000.00,823655.62
425000.00,503189.88
8000000.00,7895342.50
4000000.00,3925116.00
90000.00,144091.27
725000.00,639566.38
9000000.00,9098490.00
3100000.00,2989457.00
130000.00,175436.08
280000.00,310976.41
4900000.00,5024476.00
3100000.00,2673405.50
240000.00,241255.81
2700000.00,2371062.50
4700000.00,4313496.00
2500000.00,2861818.50
200000.00,175436.08
70000.00,195993.38
900000.00,891991.06
8500000.00,8478560.00
190000.00,666769.81
210000.00,838223.56
1100000.00,1178528.88
160000.00,195993.38
600000.00,585909.94
3500000.00,3723599.00
500000.00,656480.19
300000.00,310976.41
90000.00,195993.38
1600000.00,1677796.50
4900000.00,4714322.50
625000.00,433197.62
900000.00,744765.31
1400000.00,1643913.88
1100000.00,1042827.94
8500000.00,8432840.00
230000.00,85824.99
29000000.00,28176308.00
1200000.00,1102431.38
12500000.00,11890362.00
3900000.00,3345214.50
625000.00,370672.88
350000.00,240217.14
1700000.00,1800465.62
725000.00,653771.06
90000.00,195993.38
1600000.00,1783984.50
8000000.00,7969835.00
5500000.00,4948997.50
9000000.00,8447368.00
150000.00,175436.08
3300000.00,3949423.50
7000000.00,6323334.00
1300000.00,1006456.94
650000.00,577133.88
650000.00,524274.06
700000.00,845738.19
60000.00,195993.38
575000.00,668715.94
2400000.00,2854536.50
16000000.00,16395416.00
280000.00,276903.25
260000.00,127380.09
270000.00,297485.84
675000.00,696912.62
290000.00,334226.41
800000.00,838200.44
1800000.00,1653712.75
20000.00,-98983.73
3200000.00,2670020.00
400000.00,498318.81
1100000.00,1210727.75
900000.00,959818.19
725000.00,674163.12
450000.00,403898.59
5000000.00,4200487.00
1000000.00,1959875.75
700000.00,679337.50
2500000.00,3220991.25
525000.00,545421.38
575000.00,484502.75
750000.00,758970.00
725000.00,813912.12
110000.00,175436.08
700000.00,799948.81
170000.00,285933.53
6000000.00,6296731.00
11500000.00,11820940.00
3200000.00,3074519.75
4300000.00,4830673.00
2500000.00,2157686.75
1000000.00,965710.00
725000.00,724205.88
850000.00,866726.69
1400000.00,1634288.62
2100000.00,1691747.38
825000.00,871542.75
1100000.00,1206540.00
5500000.00,5418069.00
850000.00,889140.88
170000.00,236081.41
4200000.00,4069140.25
250000.00,182018.25
5000000.00,4918242.00
800000.00,688535.19
1000000.00,965710.00
0.00,-288089.75
100000.00,144091.27
350000.00,339400.81
700000.00,592518.94
8500000.00,9101430.00
350000.00,497888.69
1600000.00,1559021.62
575000.00,519494.03
18500000.00,17933930.00
375000.00,367956.25
575000.00,597525.94
800000.00,867914.75
475000.00,532197.12
7500000.00,7404585.50
110000.00,195993.38
3600000.00,3055047.75
7000000.00,7206763.50
270000.00,276903.25
375000.00,310976.41
6000000.00,5228024.50
83500000.00,73687632.00
50000.00,-71621.74
600000.00,573369.81
400000.00,420639.41
6000000.00,6860001.00
1200000.00,1593249.88
0.00,-639699.69
4500000.00,4493848.50
6000000.00,4093332.50
11500000.00,10925492.00
925000.00,860158.75
6500000.00,5729092.50
3000000.00,2616200.75
350000.00,440397.00
56500000.00,61082776.00
1000000.00,827441.00
650000.00,655017.62
350000.00,325181.09
100000.00,195993.38
400000.00,355852.91
30000.00,210198.03
230000.00,221876.78
625000.00,646044.62
1100000.00,1176071.25
5000000.00,5065262.50
9500000.00,10283754.00
1100000.00,1332015.25
500000.00,578703.94
325000.00,249102.06
400000.00,385420.22
180000.00,175436.08
2400000.00,2623437.00
7500000.00,7658368.00
180000.00,142583.11
1800000.00,1791029.00
675000.00,742148.69
15000000.00,15356614.00
43500000.00,42225084.00
16000000.00,14860386.00
0.00,-302294.44
425000.00,431366.72
230000.00,208756.25
650000.00,700400.44
675000.00,653771.06
850000.00,793332.06
325000.00,355852.91
875000.00,862537.88
120000.00,175436.08
850000.00,898623.69
1100000.00,1454456.00
200000.00,221476.84
3800000.00,3492509.00
675000.00,677873.25
650000.00,615645.06
1900000.00,2079201.88
1300000.00,1243959.75
2800000.00,2639240.50
1400000.00,1420708.75
350000.00,336542.84
3200000.00,3105454.50
16500000.00,16642686.00
450000.00,532897.56
4500000.00,4314378.50
1600000.00,1676236.00
425000.00,492425.91
600000.00,650010.62
950000.00,1309685.62
1200000.00,863392.88
450000.00,597525.94
850000.00,731822.19
3800000.00,3742578.50
4700000.00,4252376.50
240000.00,426294.41
2300000.00,2209110.50
475000.00,544833.50
90000.00,195993.38
1800000.00,1980180.75
4400000.00,4058083.50
525000.00,710387.00
875000.00,802479.25
240000.00,221876.78
0.00,372155.47
800000.00,697669.62
5000000.00,5100026.50
600000.00,565350.50
900000.00,894350.69
2100000.00,2168731.75
11500000.00,9670532.00
130000.00,195993.38
550000.00,501801.50
475000.00,451758.75
9500000.00,10288206.00
325000.00,370057.59
525000.00,465129.88
575000.00,622609.12
500000.00,647568.69
1000000.00,951842.38
525000.00,544833.50
700000.00,758970.00
325000.00,243927.66
170000.00,285933.53
160000.00,195993.38
775000.00,738356.62
475000.00,355852.91
950000.00,880799.25
3900000.00,4233263.50
375000.00,395624.03
675000.00,571453.19
1200000.00,1283438.88
900000.00,871425.38
13000000.00,9200922.00
4900000.00,4146360.25
725000.00,926356.50
2600000.00,2477709.00
575000.00,559038.19
110000.00,210198.03
6500000.00,6662386.50
600000.00,587574.50
2800000.00,2970488.50
1300000.00,1333773.50
2800000.00,3279111.00
1600000.00,1852780.88
900000.00,773470.06
240000.00,221876.78
2000000.00,2259320.00
550000.00,467359.09
300000.00,341202.31
6000000.00,5679148.00
525000.00,501801.50
200000.00,236081.41
525000.00,498707.44
850000.00,908599.75
5500000.00,5498869.50
10500000.00,11296466.00
3700000.00,3656869.75
950000.00,906306.88
190000.00,210198.03
190000.00,219772.16
600000.00,594876.38
160000.00,144091.27
375000.00,251171.58
6500000.00,7195782.50
1200000.00,1190164.00
2300000.00,2303977.00
3100000.00,3112731.75
950000.00,912487.62
300000.00,219318.58
210000.00,457336.34
210000.00,243875.28
8000000.00,7078236.00
180000.00,228135.31
240000.00,386585.59
525000.00,476893.19
825000.00,829325.06
250000.00,325181.09
230000.00,310976.41
160000.00,236081.41
80000.00,112907.38
400000.00,388877.09
1100000.00,1439538.50
140000.00,193435.14
1500000.00,1403118.25
650000.00,533471.75
375000.00,325181.09
1000000.00,1105493.50
4700000.00,4349748.00
4600000.00,3943344.50
375000.00,426192.31
1300000.00,1386090.75
170000.00,248527.28
450000.00,465963.44
18500000.00,17806478.00
6500000.00,6274648.00
500000.00,829524.62
7000000.00,8969050.00
8500000.00,9332840.00
170000.00,221876.78
1100000.00,1042503.50
325000.00,341202.31
675000.00,531398.25
425000.00,440397.00
70000.00,22953.75
44000000.00,46314044.00
525000.00,500745.06
5500000.00,6702471.50
2600000.00,3057830.50
60000.00,176357.45
500000.00,440397.00
975000.00,1804198.50
1100000.00,1145354.50
650000.00,585279.19
300000.00,350747.53
2400000.00,2304992.50
950000.00,1265698.50
7000000.00,6876521.00
290000.00,339400.81
575000.00,631440.25
675000.00,730190.50
475000.00,139853.58
475000.00,515302.75
1100000.00,1157594.25
825000.00,856161.19
425000.00,370057.59
425000.00,557754.81
3200000.00,2969738.75
1700000.00,1625992.00
775000.00,755205.94
425000.00,472518.00
90000.00,175436.08
17500000.00,15866516.00
140000.00,227051.19
17000000.00,17187844.00
290000.00,355852.91
1100000.00,1233605.12
725000.00,648596.69
450000.00,405196.84
2300000.00,2087221.12
270000.00,325181.09
300000.00,325181.09
0.00,900423.81
2700000.00,2775535.75
60000.00,187109.56
500000.00,535395.81
675000.00,944740.19
50000.00,144091.27
220000.00,250346.27
1900000.00,1770977.88
4200000.00,3771938.25
12000000.00,11293406.00
5500000.00,5193484.50
1100000.00,852118.62
350000.00,395624.03
400000.00,431462.09
1300000.00,1195780.62
0.00,124036.25
50000.00,195993.38
825000.00,1116451.50
1000000.00,955786.88
5500000.00,5895670.00
900000.00,895692.06
10000000.00,11637290.00
270000.00,288033.41
450000.00,472908.16
50000.00,144091.27
750000.00,1712793.12
190000.00,315318.88
150000.00,213930.66
300000.00,375232.00
500000.00,647568.69
325000.00,325181.09
3400000.00,3120153.25
1000000.00,822569.25
4200000.00,3747411.00
150000.00,253701.69
375000.00,456758.50
975000.00,858512.62
1800000.00,1771709.12
150000.00,173629.09
8000000.00,7500851.00
925000.00,891855.00
100000.00,158295.92
1700000.00,1537488.25
80000.00,144091.27
5500000.00,5025150.00
0.00,285638.81
425000.00,361137.22
725000.00,704747.06
1300000.00,1324178.38
750000.00,597525.94
35000000.00,35771316.00
34000000.00,30655464.00
425000.00,559038.19
110000.00,195993.38
2600000.00,2528968.25
3500000.00,3456782.75
170000.00,208756.25
775000.00,747323.06
375000.00,378418.41
1100000.00,1028623.25
325000.00,285933.53
2100000.00,2059680.88
1000000.00,1160127.75
260000.00,220402.70
550000.00,571959.50
575000.00,465963.44
20000.00,-166356.19
3100000.00,3166750.50
260000.00,354712.44
375000.00,325181.09
260000.00,206198.02
6500000.00,5414286.50
4000000.00,3531566.00
270000.00,236081.41
3200000.00,3346393.00
210000.00,208756.25
220000.00,221876.78
190000.00,221876.78
180000.00,52873.04
190000.00,236081.41
150000.00,210198.03
15500000.00,14114078.00
450000.00,592327.94
9000000.00,8734768.00
1300000.00,1487018.75
2500000.00,2687957.00
130000.00,267967.38
950000.00,1280570.50
475000.00,529448.44
2300000.00,2292295.00
31500000.00,29234888.00
625000.00,674163.12
14500000.00,13130684.00
625000.00,524274.06
4700000.00,4369398.50
200000.00,175436.08
425000.00,484502.75
100000.00,158295.92
1500000.00,1721717.00
6000000.00,6219807.50
375000.00,362781.84
325000.00,370057.59
525000.00,562929.19
500000.00,425191.34
5500000.00,4900917.00
325000.00,245393.22
290000.00,285933.53
375000.00,451758.75
1000000.00,846306.38
600000.00,607098.75
600000.00,559512.31
5000000.00,4940203.50
90000.00,173996.78
290000.00,347338.03
10000000.00,9070474.00
325000.00,370057.59
975000.00,831559.19
170000.00,238700.88
210000.00,221876.78
350000.00,440397.00
41000000.00,43806528.00
8500000.00,7498612.50
90000.00,-113034.56
775000.00,915354.75
725000.00,765917.88
100000.00,195993.38
5500000.00,5406226.50
1100000.00,1042827.94
140000.00,158295.92
130000.00,208756.25
3100000.00,2756941.00
4900000.00,5411516.00
725000.00,687507.19
140000.00,195993.38
2900000.00,3094422.75
10500000.00,11521044.00
1300000.00,1489825.25
0.00,22953.75
2100000.00,2072102.88
1100000.00,929947.94
270000.00,181896.28
12000000.00,12007006.00
750000.00,625596.38
6500000.00,5717955.00
140000.00,195993.38
800000.00,1097064.38
3200000.00,3704823.75
130000.00,189640.73
4000000.00,3483986.25
500000.00,509998.22
875000.00,858557.00
58000000.00,57678964.00
14500000.00,15338738.00
300000.00,311499.97
130000.00,175436.08
6000000.00,5141506.50
160000.00,144091.27
3100000.00,2989383.50
425000.00,535547.12
1000000.00,1005477.38
240000.00,253857.95
400000.00,440397.00
900000.00,878295.62
14000000.00,13046912.00
2800000.00,2720282.25
375000.00,370057.59
375000.00,376986.53
3200000.00,3036930.75
180000.00,210198.03
150000.00,210198.03
350000.00,335277.47
100000.00,175436.08
1400000.00,1381819.88
8500000.00,8039378.00
450000.00,465963.44
160000.00,221876.78
1100000.00,1324593.38
70000.00,195993.38
9500000.00,9700094.00
500000.00,574316.94
525000.00,525352.50
140000.00,195993.38
825000.00,702703.69
5500000.00,5116428.50
190000.00,-117274.23
725000.00,707449.12
5500000.00,5290331.00
140000.00,195993.38
250000.00,277479.12
60000.00,144091.27
2200000.00,1975076.38
550000.00,634392.00
50000.00,195993.38
120000.00,144091.27
120000.00,444573.47
280000.00,400979.81
475000.00,564212.56
475000.00,477518.03
290000.00,355921.94
1200000.00,1323147.38
400000.00,426192.31
1700000.00,1806344.12
1000000.00,1109998.75
700000.00,608382.25
110000.00,195993.38
180000.00,215372.44
16000000.00,16350318.00
150000.00,327744.88
525000.00,934505.06
110000.00,195993.38
3900000.00,3262354.00
7500000.00,6233127.50
8500000.00,8249897.50
1100000.00,1136146.00
575000.00,630219.75
475000.00,484502.75
250000.00,229723.03
9000000.00,9699386.00
130000.00,210198.03
500000.00,426192.31
5500000.00,5437494.50
325000.00,496023.31
450000.00,829524.62
130000.00,175436.08
3500000.00,4355580.00
2100000.00,1855684.88
170000.00,228135.31
350000.00,441903.25
140000.00,219509.19
1700000.00,1931252.12
1200000.00,1011834.88
4500000.00,4153964.75
825000.00,813948.19
1600000.00,1662188.88
525000.00,636589.62
290000.00,385511.66
850000.00,839425.69
6500000.00,6453551.00
3700000.00,3398496.00
5500000.00,4678557.50
160000.00,282172.06
13000000.00,12390544.00
0.00,413493.62
6500000.00,6095413.00
4700000.00,4610820.00
450000.00,596669.81
230000.00,27306.61
7500000.00,7486893.00
500000.00,535141.44
825000.00,685116.81
0.00,1214712.75
800000.00,955786.88
140000.00,210198.03
600000.00,597525.94
5500000.00,5523579.50
4000000.00,5535041.50
7500000.00,7706196.50
150000.00,-124195.27
475000.00,524748.19
140000.00,188198.95
325000.00,311499.97
3000000.00,2800824.00
5500000.00,5767416.50
21500000.00,22264206.00
925000.00,941582.19
900000.00,941897.75
350000.00,299181.81
240000.00,271728.84
575000.00,498707.44
200000.00,156854.14
325000.00,383467.81
725000.00,799707.44
250000.00,241255.81
925000.00,1442076.12
200000.00,137340.06
160000.00,175436.08
2600000.00,2232528.50
2100000.00,2128793.00
1000000.00,829325.06
1000000.00,1030110.81
8000000.00,7435407.50
8500000.00,9059436.00
1500000.00,1466060.12
180000.00,193435.14
1500000.00,1195780.62
400000.00,484502.75
400000.00,115294.67
950000.00,850398.62
1100000.00,1042827.94
3200000.00,3233741.75
90000.00,175436.08
350000.00,392536.84
160000.00,252905.52
700000.00,744765.31
875000.00,832990.56
210000.00,162306.59
12000000.00,12250108.00
2100000.00,1968160.38
4600000.00,4689134.00
825000.00,836548.12
900000.00,654092.19
9000000.00,8791378.00
950000.00,1317921.88
12500000.00,13647472.00
900000.00,1063309.88
200000.00,276903.25
625000.00,706088.38
4000000.00,4079281.25
200000.00,255264.06
12000000.00,13033534.00
1300000.00,1748076.62
8500000.00,7626562.00
180000.00,222960.91
0.00,718660.00
900000.00,955514.38
475000.00,440397.00
525000.00,440397.00
180000.00,444573.47
575000.00,503881.84
0.00,163227.94
28500000.00,23965792.00
200000.00,235884.97
9000000.00,9034644.00
110000.00,210198.03
825000.00,771028.69
725000.00,704747.06
475000.00,406230.81
725000.00,716546.62
5500000.00,4375738.50
350000.00,310976.41
525000.00,557754.81
600000.00,553226.12
1100000.00,976073.81
350000.00,416183.47
800000.00,669788.25
925000.00,1141960.50
1400000.00,1436358.38
525000.00,493429.34
51000000.00,45280600.00
260000.00,370347.22
1700000.00,2498232.25
180000.00,279368.31
700000.00,785233.38
625000.00,560112.25
260000.00,271728.84
400000.00,428111.53
7500000.00,7632208.50
725000.00,648596.69
625000.00,649138.75
1000000.00,1150037.12
1400000.00,1394763.00
400000.00,374525.03
140000.00,158295.92
425000.00,440397.00
1900000.00,1948406.62
6000000.00,6651408.00
350000.00,370057.59
1100000.00,1005130.81
400000.00,391054.50
170000.00,208756.25
80000.00,144091.27
9500000.00,10288206.00
400000.00,404799.31
475000.00,355852.91
325000.00,285933.53
160000.00,144091.27
1000000.00,966047.06
110000.00,195993.38
450000.00,392536.84
270000.00,355852.91
4500000.00,4514087.00
270000.00,236081.41
270000.00,221876.78
300000.00,277372.38
3200000.00,3451672.50
600000.00,704747.06
900000.00,829325.06
130000.00,327744.88
1000000.00,878669.00
1000000.00,1040321.25
300000.00,271728.84
1300000.00,1171798.88
1200000.00,1593914.25
80000.00,144091.27
100000.00,195993.38
550000.00,587734.25
925000.00,1005557.12
775000.00,811467.31
230000.00,125596.13
3200000.00,2965344.00
1500000.00,1438945.38
3500000.00,3223012.00
675000.00,589801.00
130000.00,236081.41
750000.00,731654.81
1100000.00,981391.75
5000000.00,4946123.50
3000000.00,2652102.25
625000.00,574495.31
1500000.00,1371179.62
12500000.00,11440500.00
11500000.00,11561028.00
52000000.00,42299944.00
550000.00,637204.44
900000.00,935122.31
140000.00,195993.38
2900000.00,2779754.50
0.00,2003774.38
0.00,-269309.06
150000.00,210198.03
1100000.00,1348998.38
80000.00,195993.38
525000.00,520178.09
26500000.00,23856804.00
13000000.00,12706070.00
500000.00,592327.94
325000.00,10496.52
1800000.00,1858790.50
3200000.00,3332764.75
625000.00,702686.06
120000.00,195993.38
24500000.00,25720800.00
625000.00,606723.62
7500000.00,8581800.00
675000.00,648596.69
625000.00,655416.19
160000.00,195993.38
26000000.00,27368310.00
650000.00,637275.88
725000.00,1142532.00
62500000.00,53360408.00
350000.00,440397.00
650000.00,653771.06
2300000.00,2015524.88
50000.00,195993.38
2500000.00,2285760.50
575000.00,431366.72
260000.00,359945.22
220000.00,285933.53
575000.00,524274.06
3900000.00,3865632.00
525000.00,640278.25
220000.00,285933.53
80000.00,195993.38
2200000.00,2221321.25
525000.00,440399.16
825000.00,758970.00
6500000.00,7018006.50
3000000.00,2993241.25
46500000.00,48608420.00
525000.00,498707.44
750000.00,822407.81
140000.00,195993.38
260000.00,271728.84
700000.00,655416.19
900000.00,1061248.75
1000000.00,853007.44
325000.00,370057.59
650000.00,673136.69
375000.00,357907.69
500000.00,534583.88
425000.00,450570.41
0.00,110872.89
1300000.00,1186750.38
190000.00,208756.25
300000.00,211939.86
475000.00,505911.22
800000.00,852083.88
1400000.00,1164380.88
160000.00,371789.12
1400000.00,1319135.62
0.00,-210482.41
475000.00,395624.03
5000000.00,6032585.50
2200000.00,2376037.00
550000.00,550464.38
3200000.00,3293066.50
210000.00,332249.97
100000.00,195993.38
100000.00,195993.38
575000.00,592330.38
50000.00,195993.38
425000.00,370057.59
3000000.00,2803555.25
400000.00,395624.03
140000.00,-58963.82
600000.00,533846.94
90000.00,195993.38
350000.00,285933.53
350000.00,431366.72
850000.00,818410.69
8500000.00,8417566.00
425000.00,440397.00
1500000.00,1341764.88
1200000.00,1250202.25
3500000.00,3537163.00
37500000.00,33908528.00
1800000.00,2070429.50
625000.00,702025.56
280000.00,271728.84
775000.00,1132197.38
3000000.00,2501540.25
120000.00,195993.38
1300000.00,1179989.50
100000.00,-166475.98
150000.00,327744.88
2700000.00,1942607.00
8500000.00,8835146.00
190000.00,221876.78
180000.00,444573.47
300000.00,364213.72
280000.00,437955.03
450000.00,305392.91
1500000.00,1411167.50
325000.00,269494.09
675000.00,779270.25
875000.00,838164.94
350000.00,380760.03
12000000.00,11992270.00
2400000.00,2178116.25
280000.00,665328.06
150000.00,144091.27
20000.00,195993.38
350000.00,440397.00
475000.00,395624.03
4000000.00,3360575.25
475000.00,498707.44
130000.00,208756.25
10000000.00,9434908.00
925000.00,974384.69
500000.00,440397.00
160000.00,221876.78
425000.00,524274.06
825000.00,867607.62
220000.00,285933.53
350000.00,350747.53
2500000.00,2651570.75
5500000.00,6198032.50
10000000.00,9684202.00
850000.00,832990.56
325000.00,370057.59
550000.00,651305.81
375000.00,645867.06
1100000.00,978954.75
70000.00,195993.38
450000.00,442316.22
170000.00,202403.61
12500000.00,13276060.00
1600000.00,2061757.50
3900000.00,3210126.25
300000.00,285933.53
1400000.00,1668056.50
725000.00,931530.88
900000.00,909534.06
875000.00,758970.00
800000.00,724205.88
130000.00,-138090.17
1200000.00,1284705.62
625000.00,599483.88
1300000.00,1249941.50
3200000.00,2745273.75
500000.00,426192.31
600000.00,690180.31
875000.00,829325.06
1900000.00,1872893.38
8000000.00,7285225.50
5500000.00,5865983.50
120000.00,195993.38
1000000.00,855336.69
130000.00,315318.88
120000.00,144091.27
950000.00,829325.06
3800000.00,3109688.25
10000000.00,9528432.00
450000.00,445571.41
1300000.00,1381359.25
1200000.00,1240636.25
600000.00,489740.94
1200000.00,1350106.75
425000.00,516616.03
400000.00,327804.53
650000.00,538646.12
180000.00,236081.41
875000.00,811167.12
425000.00,355852.91
1000000.00,741977.81
475000.00,495775.97
170000.00,238700.88
725000.00,995390.19
10500000.00,10099766.00
